City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Wanxian,CN,2021-01-23 00:42:45,30.8039,108.3897,49.32,72,2,5.06
166,Igarka,RU,2021-01-23 00:42:46,67.4667,86.5833,-36.38,73,0,6.08
167,Chunskiy,RU,2021-01-23 00:42:46,56.0815,99.6342,-3.37,91,100,4.25
168,Rajauri,IN,2021-01-23 00:42:46,33.3833,74.3,48.22,55,99,6.06
169,Kaitangata,NZ,2021-01-23 00:42:46,-46.2817,169.8464,61.0,46,81,5.01
170,Kiomboi,TZ,2021-01-23 00:42:46,-4.2667,34.3667,61.02,94,100,4.21
171,Coquimbo,CL,2021-01-23 00:42:47,-29.9533,-71.3436,62.6,88,40,8.05
172,Tuatapere,NZ,2021-01-23 00:42:47,-46.1333,167.6833,59.0,58,96,14.0
173,Lompoc,US,2021-01-23 00:41:08,34.6391,-120.4579,53.6,66,24,13.8
174,Taldan,RU,2021-01-23 00:42:47,53.6667,124.8,-17.91,88,100,5.3
175,Nokaneng,BW,2021-01-23 00:42:47,-19.6667,22.2667,69.19,91,100,4.59
176,Ostrovnoy,RU,2021-01-23 00:42:47,68.0531,39.5131,-0.35,93,81,15.61
177,Mahuva,IN,2021-01-23 00:42:48,21.0914,71.7622,64.09,70,0,7.36
178,Takoradi,GH,2021-01-23 00:42:48,4.8845,-1.7554,78.6,85,0,5.1
179,Nome,US,2021-01-23 00:42:48,64.5011,-165.4064,32.0,93,90,12.66
180,Puerto Ayora,EC,2021-01-23 00:42:48,-0.7393,-90.3518,75.99,94,53,6.87
181,Maceio,BR,2021-01-23 00:42:02,-9.6658,-35.7353,77.0,78,20,3.44
182,Mana,GF,2021-01-23 00:42:48,5.6592,-53.7767,76.51,90,100,9.75
183,Astana,KZ,2021-01-23 00:38:32,51.1801,71.446,5.0,78,90,20.13
184,Chuy,UY,2021-01-23 00:42:49,-33.6971,-53.4616,70.29,89,0,10.45
185,Sarakhs,IR,2021-01-23 00:42:49,36.5449,61.1577,30.61,86,0,8.14
186,Touros,BR,2021-01-23 00:42:49,-5.1989,-35.4608,78.8,78,40,8.05
187,Ushtobe,KZ,2021-01-23 00:42:49,45.2514,77.9838,9.91,93,41,9.98
188,Grand Gaube,MU,2021-01-23 00:42:49,-20.0064,57.6608,79.0,75,2,3.0
189,San Patricio,US,2021-01-23 00:42:49,28.017,-97.5169,75.2,69,1,5.75
190,Mauguio,FR,2021-01-23 00:42:50,43.6181,4.0074,46.4,66,0,16.11
191,Bodden Town,KY,2021-01-23 00:42:50,19.2833,-81.25,78.8,83,20,5.75
192,Saint-Francois,FR,2021-01-23 00:42:50,46.4154,3.9054,37.4,87,0,2.3
193,Avera,US,2021-01-23 00:42:50,33.194,-82.5271,48.2,88,1,3.44
194,Pacific Grove,US,2021-01-23 00:41:04,36.6177,-121.9166,52.0,82,90,8.05
195,Mountain Home,US,2021-01-23 00:39:00,43.133,-115.6912,37.4,87,90,9.22
196,Vestmanna,FO,2021-01-23 00:42:50,62.1564,-7.1664,33.8,80,75,16.11
197,Nikolskoye,RU,2021-01-23 00:42:51,59.7035,30.7861,34.0,93,75,6.71
198,Luena,AO,2021-01-23 00:42:51,-11.7833,19.9167,62.87,97,99,3.67
199,Tiksi,RU,2021-01-23 00:42:51,71.6872,128.8694,-40.63,80,99,8.59
200,Terekli-Mekteb,RU,2021-01-23 00:42:51,44.1671,45.8698,34.27,82,0,6.51
201,Rawson,AR,2021-01-23 00:42:51,-43.3002,-65.1023,80.46,38,0,15.86
202,Chimbote,PE,2021-01-23 00:42:23,-9.0853,-78.5783,71.51,74,4,4.54
203,Umm Kaddadah,SD,2021-01-23 00:42:51,13.6017,26.6876,60.98,31,98,13.06
204,Helena,US,2021-01-23 00:41:22,46.5927,-112.0361,28.4,69,1,3.44
205,Male,MV,2021-01-23 00:39:52,4.1748,73.5089,80.6,89,40,5.75
206,Kamloops,CA,2021-01-23 00:42:52,50.6665,-120.3192,24.8,63,1,5.75
207,Chokurdakh,RU,2021-01-23 00:42:52,70.6333,147.9167,-43.91,80,43,3.13
208,Ruteng,ID,2021-01-23 00:42:52,-8.6136,120.4721,71.98,84,100,0.78
209,Poltava,UA,2021-01-23 00:42:52,49.5937,34.5407,36.25,99,100,11.79
210,Bang Saphan,TH,2021-01-23 00:42:52,11.2126,99.5117,77.0,100,20,2.3
211,Komsomolskiy,UZ,2021-01-23 00:42:52,40.4272,71.7189,24.8,68,100,2.3
212,Muroto,JP,2021-01-23 00:42:53,33.2833,134.15,55.4,100,75,6.91
213,Acajutla,SV,2021-01-23 00:42:53,13.5928,-89.8275,77.95,71,0,5.12
214,Longyearbyen,SJ,2021-01-23 00:42:53,78.2186,15.6401,10.4,72,20,11.5
215,Bandarbeyla,SO,2021-01-23 00:42:53,9.4942,50.8122,73.45,74,100,18.28
216,Tecpatan,MX,2021-01-23 00:42:53,17.1333,-93.3,91.4,35,40,6.91
217,Saint Austell,GB,2021-01-23 00:42:53,50.3383,-4.7658,37.4,87,100,6.91
218,Provideniya,RU,2021-01-23 00:42:54,64.3833,-173.3,5.31,91,16,5.5
219,Souillac,MU,2021-01-23 00:42:54,-20.5167,57.5167,78.8,83,75,6.91
220,Kudahuvadhoo,MV,2021-01-23 00:42:54,2.6708,72.8944,81.46,74,10,6.22
221,Pavino,RU,2021-01-23 00:42:54,59.1139,46.1414,-1.77,92,100,9.55
222,Victoria,HK,2021-01-23 00:42:54,22.2855,114.1577,66.99,87,0,5.19
223,Guerrero Negro,MX,2021-01-23 00:42:54,27.9769,-114.0611,61.47,67,0,11.25
224,Broken Hill,AU,2021-01-23 00:42:55,-31.95,141.4333,93.2,7,0,16.11
225,Ternate,ID,2021-01-23 00:42:55,0.8,127.4,82.54,73,100,5.08
226,Zhanakorgan,KZ,2021-01-23 00:42:55,43.9098,67.2495,23.11,98,100,16.35
227,Olenino,RU,2021-01-23 00:42:55,56.2092,33.4889,32.61,97,100,5.48
228,Peleduy,RU,2021-01-23 00:42:55,59.6289,112.7406,-38.15,77,100,5.39
229,Bridlington,GB,2021-01-23 00:42:55,54.0831,-0.1919,33.01,88,0,3.0
230,Mahon,ES,2021-01-23 00:42:56,39.8885,4.2658,53.6,54,0,16.11
231,Padang,ID,2021-01-23 00:42:56,-0.9492,100.3543,75.2,88,20,1.14
232,Porto Novo,BJ,2021-01-23 00:42:56,6.4965,2.6036,80.6,83,100,4.61
233,Manado,ID,2021-01-23 00:40:26,1.487,124.8455,77.0,100,40,1.14
234,Young,UY,2021-01-23 00:42:56,-32.6833,-57.6333,78.85,53,0,10.02
235,Cayenne,GF,2021-01-23 00:42:21,4.9333,-52.3333,78.8,100,75,4.61
236,Yerbogachen,RU,2021-01-23 00:42:56,61.2767,108.0108,-53.5,72,99,4.74
237,Staryy Nadym,RU,2021-01-23 00:42:57,65.6118,72.6842,-45.11,76,57,5.93
238,Jalu,LY,2021-01-23 00:42:57,29.0331,21.5482,45.41,62,0,7.43
239,Novo Aripuana,BR,2021-01-23 00:42:57,-5.1206,-60.3797,73.42,97,82,2.01
240,Nuuk,GL,2021-01-23 00:42:57,64.1835,-51.7216,21.2,73,8,3.44
241,Aginskoye,RU,2021-01-23 00:42:57,51.1,114.53,2.44,87,0,2.15
242,Qaanaaq,GL,2021-01-23 00:42:57,77.484,-69.3632,14.25,82,0,5.88
243,Caravelas,BR,2021-01-23 00:42:58,-17.7125,-39.2481,75.16,84,0,6.02
244,Petropavlovsk-Kamchatskiy,RU,2021-01-23 00:42:58,53.0452,158.6483,6.8,66,100,4.47
245,Hare Bay,CA,2021-01-23 00:42:58,48.8499,-54.0148,21.2,93,87,9.22
