City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,77,20,9.22,few clouds
210,Loandjili,CG,-4.7561,11.8578,73.4,100,20,2.3,few clouds
211,Ribeira Grande,PT,38.5167,-28.7,62.47,87,57,23.71,broken clouds
212,Paita,PE,-5.0892,-81.1144,72.79,79,98,9.08,overcast clouds
213,Nanortalik,GL,60.1432,-45.2371,22.06,89,6,11.01,clear sky
214,Kimbe,PG,-5.5502,150.1429,86.31,59,100,6.31,overcast clouds
215,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.79,93,10,2.66,moderate rain
216,Krasne,UA,49.9145,24.6134,37.4,93,0,4.47,clear sky
217,Manaure,CO,11.7751,-72.4445,78.6,77,43,16.4,scattered clouds
218,Sao Filipe,CV,14.8961,-24.4956,71.94,65,37,4.47,scattered clouds
219,Dori,BF,14.0354,-0.0345,62.64,26,52,8.75,broken clouds
220,San Jeronimo,PE,-11.9472,-75.2829,49.53,73,93,0.67,overcast clouds
221,Khandyga,RU,62.6667,135.6,-43.51,77,100,0.83,overcast clouds
222,Shenjiamen,CN,29.9576,122.298,45.28,91,95,12.15,overcast clouds
223,Lebu,CL,-37.6167,-73.65,56.82,85,0,15.93,clear sky
224,Thisted,DK,56.9552,8.6949,35.01,94,100,3.87,overcast clouds
225,Victoria,HK,22.2855,114.1577,66.99,80,32,3.0,scattered clouds
226,Luanda,AO,-8.8368,13.2343,75.2,88,20,3.44,few clouds
227,Gusau,NG,12.1628,6.6614,61.27,27,0,11.36,clear sky
228,Ottumwa,US,41.02,-92.4113,30.99,80,90,8.05,light snow
229,Inuvik,CA,68.3499,-133.7218,-16.6,76,0,8.05,clear sky
230,Gasa,PS,31.5,34.4667,48.0,65,0,2.3,clear sky
231,Pangnirtung,CA,66.1451,-65.7125,15.4,80,64,3.11,broken clouds
232,Kyra,RU,49.5776,111.9753,17.67,90,86,2.44,overcast clouds
233,Dandong,CN,40.1292,124.3947,42.75,63,29,1.63,scattered clouds
234,Gimli,CA,50.6336,-96.9907,10.4,72,95,11.5,overcast clouds
235,Tuatapere,NZ,-46.1333,167.6833,60.01,79,96,23.0,overcast clouds
236,Oktyabrskiy,RU,54.4815,53.471,19.96,97,100,8.79,light snow
237,Rocha,UY,-34.4833,-54.3333,66.74,96,7,5.53,clear sky
238,Conil,FR,44.9673,3.7177,23.63,100,100,6.69,overcast clouds
239,Peruibe,BR,-24.32,-46.9983,74.93,88,100,1.66,overcast clouds
240,Ormara,PK,25.2088,64.6357,63.18,28,0,14.5,clear sky
241,Provideniya,RU,64.3833,-173.3,6.78,83,1,2.66,clear sky
242,Jacareacanga,BR,-6.2222,-57.7528,72.73,97,100,2.66,moderate rain
243,Hastings,GB,50.8552,0.5729,30.0,78,0,7.05,clear sky
244,Roebourne,AU,-20.7833,117.1333,98.53,28,71,16.35,broken clouds
245,Sovetskiy,RU,61.3614,63.5842,-28.86,84,100,6.2,overcast clouds
246,Arraial Do Cabo,BR,-22.9661,-42.0278,74.64,88,53,14.07,broken clouds
247,Shingu,JP,33.7333,135.9833,51.8,93,75,9.22,broken clouds
248,Northam,GB,51.0333,-4.2167,37.99,96,100,5.99,overcast clouds
249,Russell,US,32.3502,-85.1999,53.6,54,90,4.61,overcast clouds
250,Sao Joao Da Ponte,BR,-15.9292,-44.0078,63.3,93,7,5.68,clear sky
251,Hermanus,ZA,-34.4187,19.2345,61.0,68,30,5.01,scattered clouds
252,Ginda,IN,30.6945,78.4932,50.0,81,40,3.44,mist
253,Katobu,ID,-4.9408,122.5276,79.81,80,100,4.63,overcast clouds
254,Shelbyville,US,35.4834,-86.4603,39.2,56,90,6.69,overcast clouds
255,Rock Sound,BS,24.9,-76.2,73.33,63,0,5.99,clear sky
256,Lugovoy,KZ,42.9472,72.7644,21.4,87,81,4.79,broken clouds
257,Greenville,US,35.6127,-77.3663,28.99,69,1,6.33,clear sky
258,Sopot,PL,54.4418,18.56,33.8,100,75,4.61,mist
259,San Cristobal,VE,7.7669,-72.225,65.23,83,71,2.35,broken clouds
260,Saskylakh,RU,71.9167,114.0833,-34.69,81,25,6.69,scattered clouds
261,Samfya,ZM,-11.3649,29.5565,66.31,92,100,4.7,overcast clouds
262,Cayenne,GF,4.9333,-52.3333,75.2,100,75,2.3,broken clouds
